time,dewpoint,altitude,UV,lux
118,14.4,1333.8,-0.005,10.0
119,14.4,1330.0,-0.005,6.0
119,14.3,1326.7,0.000,4.0
120,14.2,1318.5,-0.005,3.0
121,14.3,1311.7,-0.005,0.0
122,14.3,1306.5,-0.005,3.0
122,14.2,1310.5,-0.005,12.0
123,14.1,1317.8,-0.005,16.0
124,14.0,1319.8,0.000,16.0
125,14.0,1319.1,-0.005,12.0
125,13.9,1313.6,-0.005,12.0
126,13.9,1311.3,-0.005,9.0
127,13.9,1306.7,-0.005,10.0
127,13.9,1305.9,-0.005,10.0
128,13.9,1307.4,-0.005,9.0
129,13.9,1308.6,-0.005,10.0
130,13.9,1311.7,-0.005,9.0
130,13.8,1316.3,-0.005,10.0
131,13.8,1317.1,-0.005,10.0
132,13.8,1317.5,-0.005,10.0
133,13.8,1316.9,-0.005,8.0
133,13.8,1313.8,-0.005,1.0
134,13.7,1316.9,-0.005,69.0
135,13.7,1316.3,-0.005,82.0
136,13.7,1319.1,-0.011,112.0
136,13.6,1322.9,-0.011,153.0
137,13.5,1329.2,-0.005,267.0
138,13.6,1327.4,-0.005,76.0
139,13.6,1324.7,0.000,16.0
139,13.6,1325.3,-0.005,18.0
140,13.4,1329.8,0.000,35.0
141,13.3,1333.1,-0.005,68.0
142,13.3,1334.7,0.000,16.0
142,13.1,1335.9,-0.005,8.0
143,13.1,1337.3,0.000,2.0
144,13.0,1337.6,-0.005,1.0
144,12.9,1338.4,-0.005,0.0
145,12.9,1338.4,0.000,0.0
146,12.8,1337.7,-0.005,0.0
147,12.7,1336.9,-0.005,0.0
147,12.6,1335.5,0.000,1.0
148,12.6,1332.6,0.000,1.0
149,12.6,1330.4,0.000,0.0
150,12.6,1330.2,-0.005,1.0
150,12.6,1331.4,0.000,1.0
151,12.5,1331.9,0.000,0.0
152,12.4,1332.1,-0.005,2.0
153,12.3,1333.9,0.000,2.0
153,12.2,1336.1,-0.005,3.0
154,12.2,1335.6,-0.005,3.0
155,12.1,1334.7,0.000,3.0
156,12.1,1332.1,0.000,1.0
156,12.0,1330.1,0.000,0.0
157,12.0,1324.9,0.000,1.0
158,12.0,1319.2,0.000,1.0
159,11.9,1316.3,0.000,0.0
159,11.9,1316.6,-0.005,1.0
160,11.9,1317.3,0.000,1.0
161,11.9,1318.5,0.000,1.0
161,11.9,1320.4,0.000,1.0
162,12.0,1322.3,0.000,1.0
163,11.9,1323.4,0.000,0.0
164,11.9,1323.4,0.000,1.0
164,12.0,1323.2,0.000,1.0
165,12.0,1323.6,0.000,1.0
166,12.0,1324.9,0.000,0.0
167,12.0,1326.5,0.000,0.0
167,12.0,1327.2,-0.005,0.0
168,12.0,1327.4,0.000,0.0
169,12.1,1327.3,0.000,0.0
170,12.1,1327.7,0.000,0.0
170,12.1,1328.6,0.000,0.0
171,12.1,1329.3,0.000,0.0
172,12.2,1330.4,0.000,0.0
173,12.2,1330.8,0.000,0.0
173,12.2,1332.0,0.000,0.0
174,12.2,1333.5,0.000,1.0
175,12.2,1335.0,0.000,0.0
175,12.3,1333.0,0.000,0.0
176,12.3,1329.9,0.000,0.0
177,12.4,1326.8,0.000,0.0
178,12.4,1326.0,0.000,0.0
178,12.4,1328.3,0.000,0.0
179,12.3,1330.8,0.000,1.0
180,12.2,1332.6,0.000,2.0
181,12.2,1333.1,0.000,1.0
181,12.1,1329.9,0.000,0.0
182,12.1,1328.2,0.000,6.0
183,12.1,1327.1,0.000,7.0
184,12.1,1326.9,0.000,9.0
184,12.1,1326.3,0.000,11.0
185,12.1,1325.9,0.000,9.0
186,12.1,1324.5,0.000,10.0
187,12.2,1324.7,0.000,10.0
187,12.2,1323.7,0.000,9.0
188,12.2,1321.9,0.000,9.0
189,12.3,1320.2,0.000,7.0
190,12.3,1319.0,0.000,1.0
190,12.3,1320.6,0.000,0.0
191,12.1,1323.2,0.000,0.0
192,12.1,1323.4,0.000,20.0
192,12.1,1327.5,0.000,25.0
193,12.0,1333.3,0.000,17.0
194,12.0,1339.7,0.000,22.0
195,11.8,1343.5,0.000,25.0
195,11.8,1345.1,0.000,22.0
196,11.8,1344.7,0.000,19.0
197,11.7,1346.7,0.000,17.0
198,11.7,1346.5,0.000,14.0
198,11.7,1344.6,0.000,15.0
199,11.8,1343.4,0.000,16.0
200,11.8,1342.8,0.000,20.0
201,11.8,1344.2,0.000,32.0
201,11.7,1344.2,0.000,29.0
202,11.7,1344.6,-0.005,39.0
203,11.6,1345.7,0.000,46.0
204,11.5,1345.5,0.000,12.0
204,11.5,1341.1,0.000,9.0
205,11.5,1335.1,0.000,6.0
206,11.6,1326.3,0.000,6.0
207,11.5,1325.2,0.000,5.0
207,11.5,1324.4,0.000,2.0
208,11.6,1323.0,0.000,5.0
209,11.6,1322.4,0.000,2.0
209,11.6,1323.1,0.000,13.0
210,11.6,1322.7,0.000,4.0
211,11.6,1323.5,0.000,5.0
212,11.7,1325.0,0.000,7.0
212,11.7,1325.7,0.000,14.0
213,11.6,1327.9,0.000,17.0
214,11.6,1328.8,0.000,13.0
215,11.6,1330.1,0.000,11.0
215,11.6,1330.7,0.000,14.0
216,11.7,1331.8,0.000,14.0
217,11.6,1333.0,0.000,14.0
218,11.7,1333.1,0.000,15.0
218,11.7,1334.1,0.000,16.0
219,11.7,1334.5,0.000,12.0
220,11.7,1334.8,0.000,7.0
221,11.7,1335.6,0.000,4.0
221,11.7,1336.6,0.000,5.0
222,11.7,1336.6,0.000,2.0
223,11.7,1336.4,0.000,12.0
224,11.7,1336.0,0.000,12.0
224,11.7,1336.4,0.000,10.0
225,11.7,1335.8,0.000,6.0
226,11.8,1336.3,0.000,7.0
226,11.8,1336.7,0.000,7.0
227,11.7,1338.5,0.000,7.0
228,11.7,1339.4,0.000,6.0
229,11.7,1340.0,0.000,8.0
229,11.7,1340.6,0.000,5.0
230,11.8,1340.1,0.000,7.0
231,11.8,1341.3,0.000,5.0
232,11.8,1340.9,0.000,9.0
232,11.8,1341.6,0.000,4.0
233,11.8,1342.0,0.000,6.0
234,11.8,1343.0,0.000,6.0
235,11.8,1344.3,0.000,5.0
235,11.8,1344.3,0.000,6.0
236,11.8,1344.9,0.000,8.0
237,11.8,1345.5,0.000,5.0
238,11.8,1345.7,0.000,6.0
238,11.8,1345.3,0.000,4.0
239,11.8,1345.4,0.000,9.0
240,11.8,1345.3,0.000,2.0
240,11.8,1343.5,0.000,1.0
241,11.8,1344.5,0.000,4.0
242,12.0,1326.2,0.000,35.0
243,12.0,1318.7,0.000,49.0
243,12.0,1318.7,0.000,50.0
244,12.0,1319.0,0.000,48.0
245,12.0,1320.7,0.000,11.0
246,11.9,1320.9,0.000,24.0
246,11.7,1326.4,0.000,42.0
247,11.5,1331.4,-0.005,36.0
248,11.4,1335.0,-0.005,23.0
249,11.3,1337.5,-0.003,83.0
249,11.2,1338.4,0.000,48.0
250,11.1,1339.9,0.002,118.0
251,11.0,1339.2,-0.001,85.0
252,11.0,1339.4,0.005,113.0
252,11.1,1334.9,0.001,154.0
253,11.2,1326.7,0.001,118.0
254,11.4,1311.0,-0.004,67.0
255,11.4,1303.5,-0.004,65.0
255,11.5,1300.5,-0.005,63.0
256,11.5,1300.2,-0.005,62.0
257,11.5,1296.0,0.000,55.0
257,11.6,1286.5,-0.005,63.0
258,11.7,1282.0,0.000,65.0
259,11.7,1280.6,0.000,53.0
260,11.7,1283.1,0.000,53.0
260,11.6,1285.6,0.000,51.0
261,11.6,1283.9,0.000,56.0
262,11.6,1277.6,-0.005,57.0
263,11.7,1272.6,0.001,49.0
263,11.7,1271.9,-0.005,96.0
264,11.6,1275.7,0.001,49.0
265,11.6,1280.2,-0.002,105.0
266,11.6,1267.9,0.003,81.0
266,11.6,1267.3,-0.001,89.0
267,11.6,1265.3,-0.004,106.0
268,11.7,1259.9,-0.003,55.0
269,11.7,1258.7,0.001,74.0
269,11.7,1262.5,-0.000,118.0
270,11.6,1265.6,-0.000,97.0
271,11.6,1268.8,-0.002,124.0
272,11.6,1273.0,-0.002,96.0
272,11.6,1269.6,-0.000,98.0
273,11.5,1265.9,-0.000,112.0
274,11.5,1266.0,-0.002,112.0
274,11.4,1268.1,-0.002,107.0
275,11.3,1271.3,0.001,96.0
276,11.2,1274.8,-0.004,100.0
277,11.2,1277.8,0.001,102.0
277,11.1,1280.9,-0.004,84.0
278,11.1,1282.4,0.001,95.0
279,11.2,1277.9,-0.004,87.0
280,11.2,1273.9,0.000,87.0
280,11.2,1270.7,0.000,89.0
281,11.2,1269.6,0.001,69.0
282,11.3,1266.4,-0.003,104.0
283,11.4,1260.2,-0.004,100.0
283,11.4,1259.9,0.000,86.0
284,11.4,1255.9,-0.000,86.0
285,11.4,1255.6,0.001,91.0
286,11.4,1254.7,0.002,177.0
286,11.3,1256.8,0.001,173.0
287,11.3,1258.1,0.001,173.0
288,11.2,1261.7,0.003,162.0
289,11.1,1265.4,0.003,175.0
289,11.1,1267.3,0.003,189.0
290,11.1,1265.4,0.002,174.0
291,11.2,1263.0,0.001,178.0
291,11.2,1260.7,0.003,181.0
292,11.2,1261.4,0.003,179.0
293,11.1,1265.1,0.006,191.0
294,11.1,1260.6,-0.000,164.0
294,11.2,1256.1,0.004,177.0
295,11.2,1252.4,-0.000,169.0
296,11.2,1246.6,0.002,140.0
297,11.2,1245.1,0.002,132.0
297,11.2,1245.3,0.004,114.0
298,11.3,1241.3,0.004,147.0
299,11.3,1238.0,0.004,168.0
300,11.2,1242.3,0.004,148.0
300,11.2,1244.9,0.002,146.0
301,11.2,1244.3,0.002,130.0
302,11.2,1246.0,-0.001,147.0
303,11.2,1247.0,0.001,178.0
303,11.1,1248.8,0.004,149.0
304,11.1,1251.8,0.004,157.0
305,11.2,1248.4,-0.001,156.0
306,11.1,1248.8,0.004,159.0
306,11.2,1247.3,0.002,159.0
307,11.2,1244.4,0.002,141.0
308,11.2,1245.1,0.001,140.0
308,11.2,1245.1,0.004,119.0
309,11.1,1244.1,0.004,146.0
310,11.1,1244.1,0.004,152.0
311,11.1,1242.5,0.001,144.0
311,11.1,1243.9,0.004,165.0
312,11.1,1244.6,0.004,151.0
313,11.0,1245.6,0.006,151.0
314,11.0,1243.4,0.004,183.0
314,11.0,1243.6,0.001,146.0
315,11.0,1243.3,0.006,180.0
316,11.0,1245.4,0.006,167.0
317,10.9,1245.8,0.004,174.0
317,10.9,1248.7,0.004,176.0
318,10.8,1252.0,0.004,157.0
319,10.7,1253.1,0.004,175.0
320,10.8,1249.6,0.004,163.0
320,10.7,1249.5,0.002,166.0
321,10.8,1244.6,0.002,166.0
322,10.8,1241.2,-0.000,173.0
323,10.7,1241.6,0.001,71.0
323,10.7,1240.0,-0.001,99.0
324,10.7,1239.4,-0.003,122.0
325,10.7,1237.3,-0.000,91.0
325,10.6,1235.2,0.000,102.0
326,10.7,1232.2,0.000,93.0
327,10.7,1230.4,0.000,64.0
328,10.6,1228.0,0.002,85.0
328,10.6,1225.1,0.002,157.0
329,10.7,1223.1,-0.000,142.0
330,10.7,1221.9,0.004,138.0
331,10.7,1221.1,-0.002,118.0
331,10.6,1222.5,-0.002,114.0
332,10.6,1221.2,0.003,123.0
333,10.6,1220.3,0.002,115.0
334,10.6,1221.1,0.002,116.0
334,10.5,1223.2,-0.002,111.0
335,10.5,1224.8,0.005,110.0
336,10.5,1224.2,0.005,140.0
